Case ID,Start Timestamp,Complete Timestamp,Activity,Resource,Work Order  Qty,Part Desc.,Worker ID,Report Type,Qty Completed,Qty Rejected,Qty for MRB,Rework
Case 1,2012/1/29 23:24:00,2012/1/30 5:43:00,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,10,Cable Head,ID4932,S,1,0,0,
Case 1,2012/1/30 5:44:00,2012/1/30 6:42:00,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,10,Cable Head,ID4932,D,1,0,0,
Case 1,2012/1/30 6:59:00,2012/1/30 7:21:00,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,10,Cable Head,ID4167,S,0,0,0,
Case 1,2012/1/30 7:21:00,2012/1/30 10:58:00,Turning & Milling - Machine 4,Machine 4 - Turning & Milling,10,Cable Head,ID4167,D,8,0,0,
Case 1,2012/1/31 13:20:00,2012/1/31 14:50:00,Turning & Milling Q.C.,Quality Check 1,10,Cable Head,ID4163,D,9,1,0,
Case 1,2012/2/1 8:18:00,2012/2/1 8:27:00,Laser Marking - Machine 7,Machine 7- Laser Marking,10,Cable Head,ID0998,D,9,0,0,
Case 1,2012/2/14 0:00:00,2012/2/14 1:15:00,Lapping - Machine 1,Machine 1 - Lapping,10,Cable Head,ID4882,D,0,0,0,
Case 1,2012/2/14 0:00:00,2012/2/14 1:15:00,Lapping - Machine 1,Machine 1 - Lapping,10,Cable Head,ID4882,D,0,0,0,
Case 1,2012/2/14 9:05:00,2012/2/14 10:20:00,Lapping - Machine 1,Machine 1 - Lapping,10,Cable Head,ID4882,D,1,0,0,
Case 1,2012/2/14 9:05:00,2012/2/14 9:38:00,Lapping - Machine 1,Machine 1 - Lapping,10,Cable Head,ID4882,D,8,0,0,
Case 1,2012/2/14 9:13:00,2012/2/14 13:37:00,Round Grinding - Machine 3,Machine 3 - Round Grinding,10,Cable Head,ID4445,S,0,0,0,
Case 1,2012/2/14 13:37:00,2012/2/14 15:27:00,Round Grinding - Machine 3,Machine 3 - Round Grinding,10,Cable Head,ID4445,D,9,0,0,
Case 1,2012/2/16 6:59:00,2012/2/16 7:59:00,Final Inspection Q.C.,Quality Check 1,10,Cable Head,ID4493,D,0,0,0,
Case 1,2012/2/16 12:11:00,2012/2/16 16:12:00,Final Inspection Q.C.,Quality Check 1,10,Cable Head,ID4493,D,0,0,0,
