Case ID,Complete Timestamp,Complete Timestamp,Activity,Resource,seriousness,customer,product,responsible_section,seriousness_2,service_level,service_type,support_section,workgroup
Case 1,2012/10/9 14:50:00,2012/10/9 14:50:00,Assign seriousness,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
Case 1,2012/10/9 14:51:00,2012/10/9 14:51:00,Take in charge ticket,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
Case 1,2012/10/12 15:02:00,2012/10/12 15:02:00,Take in charge ticket,Value 2,Value 1,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1,2012/10/25 11:54:00,2012/10/25 11:54:00,Resolve ticket,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1,2012/11/9 12:54:00,2012/11/9 12:54:00,Closed,Value 3,Value 1,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2,2012/4/3 8:55:00,2012/4/3 8:55:00,Assign seriousness,Value 4,Value 1,Value 2,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2,2012/4/3 8:55:00,2012/4/3 8:55:00,Take in charge ticket,Value 4,Value 1,Value 2,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2,2012/4/5 9:15:00,2012/4/5 9:15:00,Resolve ticket,Value 4,Value 1,Value 2,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2,2012/5/19 9:00:00,2012/5/19 9:00:00,Closed,Value 5,Value 1,Value 2,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 3,2010/10/29 10:14:00,2010/10/29 10:14:00,Assign seriousness,Value 6,Value 1,Value 3,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 3,2010/11/3 16:16:00,2010/11/3 16:16:00,Take in charge ticket,Value 7,Value 1,Value 3,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 3,2010/11/3 16:21:00,2010/11/3 16:21:00,Resolve ticket,Value 7,Value 1,Value 3,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 3,2010/11/30 11:20:00,2010/11/30 11:20:00,Closed,Value 5,Value 1,Value 3,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 4,2010/12/15 14:31:00,2010/12/15 14:31:00,Assign seriousness,Value 8,Value 1,Value 4,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 4,2010/12/16 8:01:00,2010/12/16 8:01:00,Take in charge ticket,Value 2,Value 1,Value 4,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 4,2010/12/16 8:08:00,2010/12/16 8:08:00,Resolve ticket,Value 2,Value 1,Value 4,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 4,2011/2/12 14:40:00,2011/2/12 14:40:00,Closed,Value 5,Value 1,Value 4,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 5,2012/4/3 13:08:00,2012/4/3 13:08:00,Assign seriousness,Value 9,Value 1,Value 5,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 5,2012/4/3 13:45:00,2012/4/3 13:45:00,Take in charge ticket,Value 10,Value 1,Value 5,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 5,2012/4/3 13:47:00,2012/4/3 13:47:00,Resolve ticket,Value 10,Value 1,Value 5,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 5,2012/4/3 14:15:00,2012/4/3 14:15:00,Take in charge ticket,Value 10,Value 1,Value 5,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 5,2012/4/3 16:07:00,2012/4/3 16:07:00,Resolve ticket,Value 10,Value 1,Value 5,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 5,2012/5/25 13:10:00,2012/5/25 13:10:00,Closed,Value 5,Value 1,Value 5,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 6,2011/10/25 15:13:00,2011/10/25 15:13:00,Assign seriousness,Value 2,Value 1,Value 6,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 6,2011/10/25 15:58:00,2011/10/25 15:58:00,Take in charge ticket,Value 2,Value 1,Value 6,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 6,2011/10/26 9:54:00,2011/10/26 9:54:00,Resolve ticket,Value 2,Value 1,Value 6,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 6,2011/12/10 16:20:00,2011/12/10 16:20:00,Closed,Value 5,Value 1,Value 6,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 7,2013/11/6 10:47:00,2013/11/6 10:47:00,Assign seriousness,Value 1,Value 1,Value 7,Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 2
Case 7,2013/11/6 10:48:00,2013/11/6 10:48:00,Assign seriousness,Value 1,Value 1,Value 7,Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 2
Case 7,2013/11/22 8:00:00,2013/11/22 8:00:00,Assign seriousness,Value 2,Value 1,Value 7,Value 1,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 7,2013/11/25 8:18:00,2013/11/25 8:18:00,Take in charge ticket,Value 11,Value 1,Value 7,Value 1,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 7,2013/11/25 8:57:00,2013/11/25 8:57:00,Resolve ticket,Value 11,Value 1,Value 7,Value 1,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 7,2013/12/10 8:57:00,2013/12/10 8:57:00,Closed,Value 3,Value 1,Value 7,Value 1,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 8,2012/7/5 8:30:00,2012/7/5 8:30:00,Assign seriousness,Value 1,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 8,2012/7/5 9:25:00,2012/7/5 9:25:00,Take in charge ticket,Value 6,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 8,2012/7/5 9:44:00,2012/7/5 9:44:00,Resolve ticket,Value 6,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 8,2012/9/2 8:40:00,2012/9/2 8:40:00,Closed,Value 5,Value 1,Value 8,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 9,2010/5/7 13:02:00,2010/5/7 13:02:00,Insert ticket,Value 12,Value 1,Value 9,Value 3,Value 1,Value 3,Value 4,Value 1,Value 1,Value 1
Case 9,2010/5/7 13:02:00,2010/5/7 13:02:00,Assign seriousness,Value 12,Value 1,Value 9,Value 3,Value 1,Value 2,Value 4,Value 1,Value 1,Value 1
Case 9,2010/5/24 10:26:00,2010/5/24 10:26:00,Take in charge ticket,Value 6,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 9,2010/5/25 15:35:00,2010/5/25 15:35:00,Resolve ticket,Value 12,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 9,2010/6/9 15:35:00,2010/6/9 15:35:00,Closed,Value 5,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 10,2010/2/10 8:50:00,2010/2/10 8:50:00,Assign seriousness,Value 2,Value 1,Value 10,Value 3,Value 2,Value 1,Value 3,Value 1,Value 2,Value 3
