Case ID,Complete Timestamp,Complete Timestamp,Activity,Resource,Variant index,seriousness,customer,product,responsible_section,seriousness_2,service_level,service_type,support_section,workgroup
Case 1,2012/10/9 14:50:17,2012/10/9 14:50:17,Assign seriousness,Value 1,12,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
Case 1,2012/10/9 14:51:01,2012/10/9 14:51:01,Take in charge ticket,Value 1,12,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
Case 1,2012/10/12 15:02:56,2012/10/12 15:02:56,Take in charge ticket,Value 2,12,Value 1,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1,2012/10/25 11:54:26,2012/10/25 11:54:26,Resolve ticket,Value 1,12,Value 1,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1,2012/11/9 12:54:39,2012/11/9 12:54:39,Closed,Value 3,12,Value 1,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2,2012/4/3 8:55:38,2012/4/3 8:55:38,Assign seriousness,Value 4,1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2,2012/4/3 8:55:53,2012/4/3 8:55:53,Take in charge ticket,Value 4,1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2,2012/4/5 9:15:52,2012/4/5 9:15:52,Resolve ticket,Value 4,1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2,2012/5/19 9:00:28,2012/5/19 9:00:28,Closed,Value 5,1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 3,2010/10/29 10:14:06,2010/10/29 10:14:06,Assign seriousness,Value 6,1,Value 1,Value 3,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 3,2010/11/3 16:16:11,2010/11/3 16:16:11,Take in charge ticket,Value 7,1,Value 1,Value 3,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 3,2010/11/3 16:21:17,2010/11/3 16:21:17,Resolve ticket,Value 7,1,Value 1,Value 3,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 3,2010/11/30 11:20:18,2010/11/30 11:20:18,Closed,Value 5,1,Value 1,Value 3,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 4,2010/12/15 14:31:53,2010/12/15 14:31:53,Assign seriousness,Value 8,1,Value 1,Value 4,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 4,2010/12/16 8:01:07,2010/12/16 8:01:07,Take in charge ticket,Value 2,1,Value 1,Value 4,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 4,2010/12/16 8:08:19,2010/12/16 8:08:19,Resolve ticket,Value 2,1,Value 1,Value 4,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 4,2011/2/12 14:40:42,2011/2/12 14:40:42,Closed,Value 5,1,Value 1,Value 4,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 5,2012/4/3 13:08:32,2012/4/3 13:08:32,Assign seriousness,Value 9,9,Value 1,Value 5,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 5,2012/4/3 13:45:33,2012/4/3 13:45:33,Take in charge ticket,Value 10,9,Value 1,Value 5,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 5,2012/4/3 13:47:22,2012/4/3 13:47:22,Resolve ticket,Value 10,9,Value 1,Value 5,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 5,2012/4/3 14:15:02,2012/4/3 14:15:02,Take in charge ticket,Value 10,9,Value 1,Value 5,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 5,2012/4/3 16:07:28,2012/4/3 16:07:28,Resolve ticket,Value 10,9,Value 1,Value 5,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 5,2012/5/25 13:10:28,2012/5/25 13:10:28,Closed,Value 5,9,Value 1,Value 5,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case 6,2011/10/25 15:13:58,2011/10/25 15:13:58,Assign seriousness,Value 2,1,Value 1,Value 6,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 6,2011/10/25 15:58:55,2011/10/25 15:58:55,Take in charge ticket,Value 2,1,Value 1,Value 6,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
